area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
Hollenbeck,2021,3,25,8,10,1
Hollenbeck,2021,4,25,8,9,2
Hollenbeck,2021,5,20,10,11,1
Hollenbeck,2021,6,27,11,13,5
Hollenbeck,2021,7,32,19,20,3
Hollenbeck,2021,8,26,8,9,1
Hollenbeck,2021,9,26,11,11,2
Hollenbeck,2021,10,26,8,11,3
Hollenbeck,2021,11,29,10,10,2
Hollenbeck,2021,12,17,6,8,2
Hollenbeck,2022,1,31,9,13,4
Hollenbeck,2022,2,22,8,11,5
Hollenbeck,2022,3,29,13,20,2
Hollenbeck,2022,4,20,8,11,2
Hollenbeck,2022,5,26,11,12,6
Hollenbeck,2022,6,25,8,10,3
Hollenbeck,2022,7,24,8,13,6
Hollenbeck,2022,8,27,4,7,2
Hollenbeck,2022,9,19,7,9,1
Hollenbeck,2022,10,28,9,12,1
Hollenbeck,2022,11,24,10,11,1
Hollenbeck,2022,12,26,7,9,1
Hollenbeck,2023,1,30,13,16,7
Hollenbeck,2023,2,28,9,11,3
Hollenbeck,2023,3,27,9,11,2
Hollenbeck,2023,4,19,3,3,0
Hollenbeck,2023,5,21,6,7,0
Hollenbeck,2023,6,24,14,16,0
Hollenbeck,2023,7,24,9,12,0
Hollenbeck,2023,8,21,10,11,3
Hollenbeck,2023,9,26,13,14,3
Hollenbeck,2023,10,18,8,10,0
Hollenbeck,2023,11,22,10,11,2
Hollenbeck,2023,12,27,11,13,3
Hollenbeck,2024,1,22,9,11,0
Hollenbeck,2024,2,29,11,17,2
Hollenbeck,2024,3,13,4,4,0
Hollenbeck,2024,4,10,2,2,1
Hollenbeck,2024,5,6,0,0,0
Hollenbeck,2024,6,8,1,1,1
Hollenbeck,2024,7,5,1,1,0
Hollenbeck,2024,8,12,0,0,0
Hollenbeck,2024,9,5,0,0,0
Hollenbeck,2024,10,6,0,0,0
Hollenbeck,2024,12,5,0,0,0
Hollywood,2020,1,41,16,18,2
Hollywood,2020,2,35,15,17,1
Hollywood,2020,3,34,12,14,3
Hollywood,2020,4,29,13,13,2
Hollywood,2020,5,39,10,14,2
Hollywood,2020,6,31,9,11,2
Hollywood,2020,7,38,9,15,4
Hollywood,2020,8,37,13,15,4
Hollywood,2020,9,31,13,19,6
Hollywood,2020,10,31,10,15,3
Hollywood,2020,11,28,9,17,7
Hollywood,2020,12,30,8,17,2
Hollywood,2021,1,31,7,15,1
Hollywood,2021,2,29,7,12,3
Hollywood,2021,3,37,9,14,2
Hollywood,2021,4,36,11,16,1
Hollywood,2021,5,35,11,15,3
Hollywood,2021,6,24,7,12,0
